🀄️ mahjong️
🍍 pineapple
🍎 apple
🍏 green_apple
🍐 pear
🍑 peach
🍒 cherries
🍓 strawberry
🍔 hamburger
🍕 pizza
🍖 meat_on_bone
🍗 poultry_leg
🍘 rice_cracker
🍙 rice_ball
🍚 rice
🍛 curry
🍜 ramen
🍝 spaghetti
🍞 bread
🍟 fries
🍠 sweet_potato
🍡 dango
🍢 oden
🍣 sushi
🍤 fried_shrimp
🍥 fish_cake
🍦 icecream
🍧 shaved_ice
🍨 ice_cream
🍩 doughnut
🍪 cookie
🍫 chocolate_bar
🍬 candy
🍭 lollipop
🍮 custard
🍯 honey_pot
🍰 cake
🍱 bento
🍲 stew
🍳 cooking
🍴 fork_and_knife
🍵 tea
🍶 sake
🍷 wine_glass
🍸 cocktail
🍹 tropical_drink
🍺 beer
🍻 beers
🍼 baby_bottle
🍽️ fork_knife_plate
🍾 champagne
🍿 popcorn
🎀 ribbon
🎁 gift
🎂 birthday
🎃 jack_o_lantern
🎄 christmas_tree
🎅🏻 santa_tone1
🎅🏼 santa_tone2
🎅🏽 santa_tone3
🎅🏾 santa_tone4
🎅🏿 santa_tone5
🎅 santa
🎆 fireworks
🎇 sparkler
🎈 balloon
🎉 tada
🎊 confetti_ball
🎋 tanabata_tree
🎌 crossed_flags
🎍 bamboo
🎎 dolls
🎏 flags
🎐 wind_chime
🎑 rice_scene
🎒 school_satchel
🎓 mortar_board
🎖️ military_medal
🎗️ reminder_ribbon
🎙️ microphone2
🎚️ level_slider
🎛️ control_knobs
🎞️ film_frames
🎟️ tickets
🎠 carousel_horse
🎡 ferris_wheel
🎢 roller_coaster
🎣 fishing_pole_and_fish
🎤 microphone
🎥 movie_camera
🎦 cinema
🎧 headphones
🎨 art
🎩 tophat
🎪 circus_tent
🎫 ticket
🎬 clapper
🎭 performing_arts
🎮 video_game
🎯 dart
🎰 slot_machine
🎱 8ball
🎲 game_die
🎳 bowling
🎴 flower_playing_cards
🎵 musical_note
🎶 notes
🎷 saxophone
🎸 guitar
🎹 musical_keyboard
🎺 trumpet
🎻 violin
🎼 musical_score
🎽 running_shirt_with_sash
🎾 tennis
🎿 ski
🏀 basketball
🏁 checkered_flag
🏂🏻 snowboarder_tone1
🏂🏼 snowboarder_tone2
🏂🏽 snowboarder_tone3
🏂🏾 snowboarder_tone4
🏂🏿 snowboarder_tone5
🏂 snowboarder
🏃🏻‍♀️ woman_running_tone1
🏃🏻‍♂️ man_running_tone1
🏃🏻 person_running_tone1
🏃🏼‍♀️ woman_running_tone2
🏃🏼‍♂️ man_running_tone2
🏃🏼 person_running_tone2
🏃🏽‍♀️ woman_running_tone3
🏃🏽‍♂️ man_running_tone3
🏃🏽 person_running_tone3
🏃🏾‍♀️ woman_running_tone4
🏃🏾‍♂️ man_running_tone4
🏃🏾 person_running_tone4
🏃🏿‍♀️ woman_running_tone5
🏃🏿‍♂️ man_running_tone5
🏃🏿 person_running_tone5
🏃‍♀️ woman_running
🏃‍♂️ man_running
🏃 person_running
🏄🏻‍♀️ woman_surfing_tone1
🏄🏻‍♂️ man_surfing_tone1
🏄🏻 person_surfing_tone1
🏄🏼‍♀️ woman_surfing_tone2
🏄🏼‍♂️ man_surfing_tone2
🏄🏼 person_surfing_tone2
🏄🏽‍♀️ woman_surfing_tone3
🏄🏽‍♂️ man_surfing_tone3
🏄🏽 person_surfing_tone3
🏄🏾‍♀️ woman_surfing_tone4
🏄🏾‍♂️ man_surfing_tone4
🏄🏾 person_surfing_tone4
🏄🏿‍♀️ woman_surfing_tone5
🏄🏿‍♂️ man_surfing_tone5
🏄🏿 person_surfing_tone5
🏄‍♀️ woman_surfing
🏄‍♂️ man_surfing
🏄 person_surfing
🏅 medal
🏆 trophy
🏇🏻 horse_racing_tone1
🏇🏼 horse_racing_tone2
🏇🏽 horse_racing_tone3
🏇🏾 horse_racing_tone4
🏇🏿 horse_racing_tone5
🏇 horse_racing
🏈 football
🏉 rugby_football
🏊🏻‍♀️ woman_swimming_tone1
🏊🏻‍♂️ man_swimming_tone1
🏊🏻 person_swimming_tone1
🏊🏼‍♀️ woman_swimming_tone2
🏊🏼‍♂️ man_swimming_tone2
🏊🏼 person_swimming_tone2
🏊🏽‍♀️ woman_swimming_tone3
🏊🏽‍♂️ man_swimming_tone3
🏊🏽 person_swimming_tone3
🏊🏾‍♀️ woman_swimming_tone4
🏊🏾‍♂️ man_swimming_tone4
🏊🏾 person_swimming_tone4
🏊🏿‍♀️ woman_swimming_tone5
🏊🏿‍♂️ man_swimming_tone5
🏊🏿 person_swimming_tone5
🏊‍♀️ woman_swimming
🏊‍♂️ man_swimming
🏊 person_swimming
🏋🏻‍♀️ woman_lifting_weights_tone1
🏋🏻‍♂️ man_lifting_weights_tone1
🏋🏻 person_lifting_weights_tone1
🏋🏼‍♀️ woman_lifting_weights_tone2
🏋🏼‍♂️ man_lifting_weights_tone2
🏋🏼 person_lifting_weights_tone2
🏋🏽‍♀️ woman_lifting_weights_tone3
🏋🏽‍♂️ man_lifting_weights_tone3
🏋🏽 person_lifting_weights_tone3
🏋🏾‍♀️ woman_lifting_weights_tone4
🏋🏾‍♂️ man_lifting_weights_tone4
🏋🏾 person_lifting_weights_tone4
🏋🏿‍♀️ woman_lifting_weights_tone5
🏋🏿‍♂️ man_lifting_weights_tone5
🏋🏿 person_lifting_weights_tone5
🏋️‍♀️ woman_lifting_weights
🏋️‍♂️ man_lifting_weights
🏋️ person_lifting_weights️
🏌🏻‍♀️ woman_golfing_tone1
🏌🏻‍♂️ man_golfing_tone1
